Time,TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Plug,LogId
1900-01-01 13:19:41.191,-0.001186,-0.000612,0.034693,0,15
1900-01-01 13:19:42.191,-0.00117,-0.000502,0.034684,0,15
1900-01-01 13:19:43.191,-0.001034,-0.000507,0.03417,0,15
1900-01-01 13:19:44.191,-0.001134,-0.000523,0.034941,0,15
1900-01-01 13:19:45.191,-0.000876,-0.000586,0.034399,0,15
1900-01-01 13:19:46.191,-0.000939,-0.000675,0.034463,0,15
1900-01-01 13:19:47.191,-0.001139,-0.000576,0.034601,0,15
1900-01-01 13:19:48.191,-0.000876,-0.000502,0.034316,0,15
1900-01-01 13:19:49.191,-0.001134,-0.000597,0.034408,0,15
1900-01-01 13:19:50.191,-0.00116,-0.00057,0.034197,0,15
1900-01-01 13:19:51.191,-0.001107,-0.000618,0.034261,0,15
1900-01-01 13:19:52.191,-0.001097,-0.00056,0.034546,0,15
1900-01-01 13:19:53.191,-0.001165,-0.000675,0.034629,0,15
1900-01-01 13:19:54.191,-0.00126,-0.000633,0.034583,0,15
1900-01-01 13:19:55.191,-0.001076,-0.000597,0.034298,0,15
1900-01-01 13:19:56.191,-0.001328,-0.000544,0.034408,0,15
1900-01-01 13:19:57.191,-0.001113,-0.00045,0.03473,0,15
1900-01-01 13:19:58.191,-0.001197,-0.000654,0.034565,0,15
1900-01-01 13:19:59.191,-0.001102,-0.000702,0.034353,0,15
1900-01-01 13:20:00.191,-0.000976,-0.00078,0.03428,0,15
1900-01-01 13:20:01.191,-0.001107,-0.000528,0.034362,0,15
1900-01-01 13:20:02.191,-0.001254,-0.000644,0.034482,0,15
1900-01-01 13:20:03.191,-0.001155,-0.00066,0.034289,0,15
1900-01-01 13:20:04.191,-0.001228,-0.000828,0.034087,0,15
1900-01-01 13:20:05.191,-0.001113,-0.00077,0.03405,0,15
1900-01-01 13:20:06.191,-0.000981,-0.000696,0.034023,0,15
1900-01-01 13:20:07.191,-0.000997,-0.000854,0.034243,0,15
1900-01-01 13:20:08.191,-0.000987,-0.000675,0.034509,0,15
1900-01-01 13:20:09.191,-0.001191,-0.001011,0.034399,0,15
1900-01-01 13:20:10.191,-0.001118,-0.000996,0.034087,0,15
1900-01-01 13:20:11.191,-0.000829,-0.000833,0.034316,0,15
1900-01-01 13:20:12.191,-0.000997,-0.000623,0.034666,0,15
1900-01-01 13:20:13.191,-0.001123,-0.000492,0.034068,0,15
1900-01-01 13:20:14.191,-0.001275,-0.000539,0.034096,0,15
1900-01-01 13:20:15.191,-0.001254,-0.000954,0.034289,0,15
1900-01-01 13:20:16.191,-0.001233,-0.000838,0.034427,0,15
1900-01-01 13:20:17.191,-0.00116,-0.000822,0.034078,0,15
1900-01-01 13:20:18.191,-0.001065,-0.000765,0.034675,0,15
1900-01-01 13:20:19.191,-0.001002,-0.000686,0.034574,0,15
1900-01-01 13:20:20.191,-0.00105,-0.000597,0.034326,0,15
1900-01-01 13:20:21.191,-0.001008,-0.000749,0.034326,0,15
1900-01-01 13:20:22.191,-0.001212,-0.000618,0.034353,0,15
1900-01-01 13:20:23.191,-0.001018,-0.000581,0.034647,0,15
1900-01-01 13:20:24.191,-0.001102,-0.000597,0.034629,0,15
1900-01-01 13:20:25.191,-0.000966,-0.000502,0.034068,0,15
1900-01-01 13:20:26.191,-0.001296,-0.000759,0.034546,0,15
1900-01-01 13:20:27.191,-0.000992,-0.000544,0.034326,0,15
1900-01-01 13:20:28.191,-0.001065,-0.000434,0.03439,0,15
1900-01-01 13:20:29.191,-0.000992,-0.000686,0.034353,0,15
1900-01-01 13:20:30.191,-0.000887,-0.000423,0.034565,0,15
1900-01-01 13:20:31.191,-0.00095,-0.000297,0.034684,0,15
1900-01-01 13:20:32.191,-0.000735,-0.000644,0.03416,0,15
1900-01-01 13:20:33.191,-0.001092,-0.000707,0.033977,0,15
1900-01-01 13:20:34.191,-0.000861,-0.000492,0.034124,0,15
1900-01-01 13:20:35.191,-0.001029,-0.000534,0.034592,0,15
1900-01-01 13:20:36.191,-0.000934,-0.000539,0.034399,0,15
1900-01-01 13:20:37.191,-0.001155,-0.000434,0.034399,0,15
1900-01-01 13:20:38.191,-0.001092,-0.000292,0.034215,0,15
1900-01-01 13:20:39.191,-0.001107,-0.000628,0.034473,0,15
1900-01-01 13:20:40.191,-0.000997,-0.000497,0.034133,0,15
1900-01-01 13:20:41.191,-0.001134,-0.000628,0.034353,0,15
1900-01-01 13:20:42.191,-0.001071,-0.000859,0.034252,0,15
1900-01-01 13:20:43.191,-0.00116,-0.000576,0.034215,0,15
1900-01-01 13:20:44.191,-0.001176,-0.000497,0.03394,0,15
1900-01-01 13:20:45.191,-0.001076,-0.000408,0.034592,0,15
1900-01-01 13:20:46.191,-0.001118,-0.000528,0.034326,0,15
1900-01-01 13:20:47.191,-0.001254,-0.000775,0.034252,0,15
1900-01-01 13:20:48.191,-0.001029,-0.000628,0.03394,0,15
1900-01-01 13:20:49.191,-0.000924,-0.000591,0.034638,0,15
1900-01-01 13:20:50.191,-0.00105,-0.000502,0.034702,0,15
1900-01-01 13:20:51.191,-0.001076,-0.000618,0.03417,0,15
1900-01-01 13:20:52.191,-0.000876,-0.000544,0.034473,0,15
1900-01-01 13:20:53.191,-0.00096,-0.000544,0.034353,0,15
1900-01-01 13:20:54.191,-0.000987,-0.00045,0.034418,0,15
1900-01-01 13:20:55.191,-0.001149,-0.000591,0.034344,0,15
1900-01-01 13:20:56.191,-0.001144,-0.000639,0.034289,0,15
1900-01-01 13:20:57.191,-0.001239,-0.000759,0.034289,0,15
1900-01-01 13:20:58.191,-0.001197,-0.000733,0.034427,0,15
1900-01-01 13:20:59.191,-0.001076,-0.000696,0.034381,0,15
1900-01-01 13:21:00.191,-0.000913,-0.000744,0.033802,0,15
1900-01-01 13:21:01.191,-0.001102,-0.000597,0.034316,0,15
1900-01-01 13:21:02.191,-0.001034,-0.000754,0.034133,0,15
1900-01-01 13:21:03.191,-0.000981,-0.000555,0.033995,0,15
1900-01-01 13:21:04.191,-0.000966,-0.000523,0.034326,0,15
1900-01-01 13:21:05.191,-0.000887,-0.000486,0.034078,0,15
1900-01-01 13:21:06.191,-0.000882,-0.000686,0.03405,0,15
1900-01-01 13:21:07.191,-0.001013,-0.000597,0.03417,0,15
1900-01-01 13:21:08.191,-0.001139,-0.000675,0.034151,0,15
1900-01-01 13:21:09.191,-0.001212,-0.00078,0.034234,0,15
1900-01-01 13:21:10.191,-0.001029,-0.00056,0.034225,0,15
1900-01-01 13:21:11.191,-0.001123,-0.000917,0.034362,0,15
1900-01-01 13:21:12.191,-0.001134,-0.000623,0.034335,0,15
1900-01-01 13:21:13.191,-0.001191,-0.000796,0.033903,0,15
1900-01-01 13:21:14.191,-0.001197,-0.000549,0.034188,0,15
1900-01-01 13:21:15.191,-0.001044,-0.000723,0.033921,0,15
1900-01-01 13:21:16.191,-0.00117,-0.000507,0.033738,0,15
1900-01-01 13:21:17.191,-0.00106,-0.000612,0.033876,0,15
1900-01-01 13:21:18.191,-0.001275,-0.000387,0.033977,0,15
1900-01-01 13:21:19.191,-0.001212,-0.000471,0.034418,0,15
1900-01-01 13:21:20.191,-0.00117,-0.000471,0.034013,0,15
1900-01-01 13:21:21.191,-0.001134,-0.000728,0.033995,0,15
1900-01-01 13:21:22.191,-0.001328,-0.000507,0.033967,0,15
1900-01-01 13:21:23.191,-0.000981,-0.00045,0.033848,0,15
1900-01-01 13:21:24.191,-0.001081,-0.000402,0.034151,0,15
1900-01-01 13:21:25.191,-0.001249,-0.000565,0.034068,0,15
1900-01-01 13:21:26.191,-0.001359,-0.000507,0.034078,0,15
1900-01-01 13:21:27.191,-0.001144,-0.000366,0.034215,0,15
1900-01-01 13:21:28.191,-0.00116,-0.000618,0.034261,0,15
1900-01-01 13:21:29.191,-0.001155,-0.000455,0.034023,0,15
1900-01-01 13:21:30.191,-0.000966,-0.000397,0.034142,0,15
1900-01-01 13:21:31.191,-0.00116,-0.000387,0.033958,0,15
1900-01-01 13:21:32.191,-0.001044,-0.000287,0.033995,0,15
1900-01-01 13:21:33.191,-0.001139,-0.000639,0.034032,0,15
1900-01-01 13:21:34.191,-0.001118,-0.000681,0.034179,0,15
1900-01-01 13:21:35.191,-0.001097,-0.000518,0.033811,0,15
1900-01-01 13:21:36.191,-0.00105,-0.000429,0.034151,0,15
1900-01-01 13:21:37.191,-0.001071,-0.000954,0.033977,0,15
1900-01-01 13:21:38.191,-0.001023,-0.000922,0.034124,0,15
1900-01-01 13:21:39.191,-0.001008,-0.000649,0.034197,0,15
1900-01-01 13:21:40.191,-0.001155,-0.00067,0.034252,0,15
1900-01-01 13:21:41.191,-0.001176,-0.000576,0.034032,0,15
1900-01-01 13:21:42.191,-0.001123,-0.000387,0.034096,0,15
1900-01-01 13:21:43.191,-0.001034,-0.000366,0.034032,0,15
1900-01-01 13:21:44.191,-0.00095,-0.000665,0.034316,0,15
1900-01-01 13:21:45.191,-0.001144,-0.000702,0.033921,0,15
1900-01-01 13:21:46.191,-0.001186,-0.00036,0.034068,0,15
1900-01-01 13:21:47.191,-0.000997,-0.000544,0.034344,0,15
1900-01-01 13:21:48.191,-0.001097,-0.000465,0.034482,0,15
1900-01-01 13:21:49.191,-0.001008,-0.00035,0.033876,0,15
1900-01-01 13:21:50.191,-0.000971,-0.000266,0.034105,0,15
1900-01-01 13:21:51.191,-0.001281,-0.000324,0.034372,0,15
1900-01-01 13:21:52.191,-0.00096,-0.000229,0.034252,0,15
1900-01-01 13:21:53.191,-0.001023,-0.000602,0.034206,0,15
1900-01-01 13:21:54.191,-0.001155,-0.000513,0.033894,0,15
