Time,TS inlet pressure (Mean),Pump outlet pressure (Mean),Differential pressure (Mean),Differential pressure (Std Dev),Pressure before pump (Std Dev),Pressure after pump (Std Dev),Plug,Plug_future,LogId
2021-12-11 11:42:28.036,0.645331,0.993827,1.102425,0.18093,0.019371,0.020451,0,0.0,19
2021-12-11 11:42:28.186,0.654391,0.9982,1.099002,0.184619,0.023051,0.023298,0,0.0,19
2021-12-11 11:42:28.284,0.64839,0.996805,1.099284,0.181793,0.022466,0.027068,0,0.0,19
2021-12-11 11:42:28.385,0.653351,1.002438,1.102732,0.172978,0.037186,0.035184,0,0.0,19
2021-12-11 11:42:28.484,0.649936,0.995998,1.096682,0.177204,0.020697,0.024504,0,0.0,19
2021-12-11 11:42:28.585,0.654911,1.002646,1.10537,0.174737,0.027201,0.028838,0,0.0,19
2021-12-11 11:42:28.684,0.652375,0.999234,1.100209,0.184655,0.021463,0.023328,0,0.0,19
2021-12-11 11:42:28.785,0.654339,0.998799,1.10164,0.194516,0.03056,0.02682,0,0.0,19
2021-12-11 11:42:28.884,0.64983,0.996476,1.096311,0.172912,0.027889,0.029064,0,0.0,19
2021-12-11 11:42:28.983,0.652959,1.001302,1.104385,0.17404,0.023327,0.02638,0,0.0,19
2021-12-11 11:42:29.084,0.653923,0.999527,1.101367,0.185695,0.024586,0.021769,0,0.0,19
2021-12-11 11:42:29.183,0.651898,0.998279,1.100858,0.178785,0.022064,0.022868,0,0.0,19
2021-12-11 11:42:29.284,0.64992,0.99542,1.097183,0.176032,0.021022,0.024822,0,0.0,19
2021-12-11 11:42:29.383,0.65402,1.002946,1.101137,0.18609,0.027873,0.030253,0,0.0,19
2021-12-11 11:42:29.484,0.65174,0.996772,1.099548,0.184421,0.023227,0.020161,0,0.0,19
2021-12-11 11:42:29.583,0.653277,0.998173,1.099466,0.185692,0.023826,0.022767,0,0.0,19
2021-12-11 11:42:29.684,0.65148,0.997708,1.100094,0.182256,0.02215,0.020414,0,0.0,19
2021-12-11 11:42:29.783,0.652216,0.99987,1.102714,0.1692,0.025325,0.025545,0,0.0,19
2021-12-11 11:42:29.884,0.645969,0.994952,1.094272,0.178822,0.033539,0.038669,0,0.0,19
2021-12-11 11:42:29.983,0.649777,0.994301,1.097146,0.171607,0.03144,0.033764,0,0.0,19
2021-12-11 11:42:30.084,0.65751,1.002074,1.101004,0.178765,0.042295,0.041358,0,0.0,19
2021-12-11 11:42:30.183,0.65455,0.999499,1.101879,0.179278,0.032468,0.034136,0,0.0,19
2021-12-11 11:42:30.284,0.654391,1.003322,1.101094,0.184642,0.022423,0.02438,0,0.0,19
