Time,TS outlet pressure (Mean),Pump outlet pressure (Mean),Differential pressure (Mean),Differential pressure (Std Dev),Pressure before pump (Std Dev),Pressure after pump (Std Dev),Plug,Plug_future,LogId
2021-09-01 10:59:21.171,0.138025,0.00027,0.012027,0.016481,0.03155,0.00584,0,0,3
2021-09-01 10:59:22.670,0.138058,0.000206,0.012667,0.017171,0.028503,0.005704,0,0,3
2021-09-01 10:59:24.169,0.139616,0.000178,0.013188,0.015886,0.030005,0.005745,0,0,3
2021-09-01 10:59:25.670,0.139463,0.000284,0.013233,0.017722,0.029836,0.005793,0,0,3
2021-09-01 10:59:27.169,0.139763,0.000413,0.013059,0.015764,0.030131,0.005739,0,0,3
2021-09-01 10:59:28.670,0.139144,0.000242,0.012829,0.017292,0.029336,0.005716,0,0,3
2021-09-01 10:59:30.169,0.139693,0.00028,0.012869,0.016297,0.028373,0.005453,0,0,3
2021-09-01 10:59:31.670,0.13912,0.000403,0.012859,0.017964,0.026847,0.005837,0,0,3
2021-09-01 10:59:33.169,0.14072,0.000388,0.013231,0.016206,0.029151,0.005682,0,0,3
2021-09-01 10:59:34.670,0.141369,0.000298,0.013576,0.017221,0.029636,0.00563,0,0,3
2021-09-01 10:59:36.169,0.14031,0.000171,0.013175,0.017883,0.02908,0.005652,0,0,3
2021-09-01 10:59:37.669,0.139946,0.000583,0.012619,0.016901,0.031529,0.005765,0,0,3
2021-09-01 10:59:39.169,0.139848,0.000443,0.012631,0.016421,0.029057,0.005783,0,0,3
2021-09-01 10:59:40.669,0.140075,0.000373,0.012981,0.016968,0.030998,0.005625,0,0,3
2021-09-01 10:59:42.169,0.139525,0.00018,0.012411,0.017774,0.030099,0.00572,0,0,3
2021-09-01 10:59:43.669,0.13843,0.000257,0.01268,0.016733,0.027988,0.005747,0,0,3
2021-09-01 10:59:45.169,0.139795,0.00053,0.012717,0.015982,0.031258,0.005682,0,0,3
2021-09-01 10:59:46.669,0.139914,0.000425,0.012644,0.015799,0.03001,0.005625,0,0,3
2021-09-01 10:59:48.169,0.13996,0.000264,0.012521,0.016359,0.030804,0.005762,0,0,3
2021-09-01 10:59:49.669,0.140229,0.000275,0.012938,0.017245,0.027772,0.005571,0,0,3
2021-09-01 10:59:51.169,0.139095,0.000527,0.012858,0.016642,0.028453,0.005643,0,0,3
2021-09-01 10:59:52.669,0.1399,0.000324,0.012546,0.016428,0.028888,0.00569,0,0,3
2021-09-01 10:59:54.169,0.140128,0.00053,0.012974,0.017261,0.030454,0.005721,0,0,3
2021-09-01 10:59:55.669,0.140012,0.000471,0.012601,0.017162,0.030718,0.00566,0,0,3
2021-09-01 10:59:57.169,0.13989,0.000369,0.013152,0.017369,0.028943,0.005585,0,0,3
2021-09-01 10:59:58.670,0.138924,0.000326,0.012431,0.016388,0.028932,0.005665,0,0,3
2021-09-01 11:00:00.169,0.13941,0.000494,0.012238,0.017109,0.029449,0.005728,0,0,3
2021-09-01 11:00:01.669,0.139935,0.000509,0.012625,0.017149,0.030029,0.005782,0,0,3
2021-09-01 11:00:03.168,0.140019,0.000518,0.012501,0.017061,0.029261,0.005694,0,0,3
2021-09-01 11:00:04.669,0.141156,0.000455,0.012596,0.016749,0.031539,0.005695,0,0,3
2021-09-01 11:00:06.168,0.139515,0.000402,0.012281,0.016837,0.028233,0.005698,0,0,3
2021-09-01 11:00:07.669,0.139585,0.00056,0.012339,0.016707,0.028474,0.005801,0,0,3
2021-09-01 11:00:09.168,0.14072,0.000567,0.01255,0.016181,0.030801,0.005739,0,0,3
2021-09-01 11:00:10.669,0.138714,0.000518,0.012339,0.016089,0.025851,0.005693,0,0,3
2021-09-01 11:00:12.168,0.139557,0.000518,0.012281,0.01654,0.027161,0.005706,0,0,3
2021-09-01 11:00:13.667,0.139487,0.000683,0.012587,0.016132,0.027561,0.005785,0,0,3
2021-09-01 11:00:15.168,0.139882,0.00055,0.012468,0.01581,0.029196,0.005736,0,0,3
2021-09-01 11:00:16.667,0.140723,0.000346,0.012471,0.015773,0.029488,0.005799,0,0,3
