Time,TS inlet pressure (Mean),Pump outlet pressure (Mean),Differential pressure (Mean),Differential pressure (Std Dev),Pressure before pump (Std Dev),Pressure after pump (Std Dev),Plug,LogId
2021-08-21 11:07:40.450,0.652198,0.002561,0.216821,0.018072,0.08187,0.004608,0,5
2021-08-21 11:07:40.949,0.65055,0.002615,0.216269,0.018405,0.080948,0.004419,0,5
2021-08-21 11:07:41.453,0.651297,0.0028,0.215,0.018836,0.07952,0.004669,0,5
2021-08-21 11:07:41.949,0.651998,0.002484,0.215635,0.0182,0.080179,0.00518,0,5
2021-08-21 11:07:42.453,0.656662,0.002737,0.219138,0.01816,0.082592,0.004637,0,5
2021-08-21 11:07:42.949,0.654645,0.002664,0.218821,0.017905,0.080856,0.004636,0,5
2021-08-21 11:07:43.448,0.660672,0.002636,0.216232,0.017646,0.080752,0.004628,0,5
2021-08-21 11:07:43.952,0.658808,0.002852,0.2185,0.0199,0.080113,0.004526,0,5
2021-08-21 11:07:44.448,0.658149,0.002759,0.219006,0.018502,0.079836,0.004419,0,5
2021-08-21 11:07:44.952,0.658245,0.002445,0.218172,0.018881,0.081546,0.004539,0,5
2021-08-21 11:07:45.448,0.658508,0.002748,0.219117,0.019249,0.083134,0.004777,0,5
2021-08-21 11:07:45.952,0.658141,0.002602,0.218664,0.017301,0.084403,0.004859,0,5
2021-08-21 11:07:46.453,0.657231,0.002513,0.218106,0.017548,0.080077,0.004725,0,5
2021-08-21 11:07:46.949,0.658276,0.00259,0.21908,0.019371,0.083096,0.004895,0,5
2021-08-21 11:07:47.448,0.656369,0.002689,0.218497,0.018024,0.079244,0.004777,0,5
2021-08-21 11:07:47.952,0.651453,0.002602,0.215165,0.019856,0.08139,0.004768,0,5
2021-08-21 11:07:48.448,0.653279,0.00242,0.216413,0.017418,0.079208,0.004822,0,5
2021-08-21 11:07:48.952,0.651026,0.002675,0.216094,0.01726,0.084011,0.004835,0,5
2021-08-21 11:07:49.448,0.654602,0.002611,0.215042,0.017711,0.078272,0.004675,0,5
2021-08-21 11:07:49.952,0.655047,0.002591,0.213961,0.018136,0.08326,0.005138,0,5
2021-08-21 11:07:50.448,0.656762,0.002515,0.21369,0.019451,0.082468,0.005004,0,5
2021-08-21 11:07:50.948,0.655451,0.002659,0.214378,0.017994,0.082301,0.004731,0,5
2021-08-21 11:07:51.452,0.656745,0.00256,0.21418,0.018278,0.081587,0.004967,0,5
2021-08-21 11:07:51.952,0.656333,0.002606,0.214102,0.019016,0.083867,0.004628,0,5
2021-08-21 11:07:52.448,0.657937,0.002717,0.214486,0.018003,0.08284,0.004876,0,5
2021-08-21 11:07:52.952,0.66136,0.002622,0.212594,0.018715,0.082094,0.004781,0,5
2021-08-21 11:07:53.448,0.665093,0.00259,0.212523,0.018832,0.081694,0.005029,0,5
2021-08-21 11:07:53.952,0.666902,0.002591,0.212485,0.016909,0.079814,0.00455,0,5
2021-08-21 11:07:54.448,0.662023,0.002896,0.212338,0.017283,0.077099,0.004307,0,5
2021-08-21 11:07:54.952,0.663777,0.002581,0.211519,0.018192,0.083491,0.004801,0,5
2021-08-21 11:07:55.448,0.666119,0.002674,0.212208,0.019115,0.084089,0.005078,0,5
2021-08-21 11:07:55.948,0.665973,0.002743,0.210813,0.019247,0.083077,0.004777,0,5
2021-08-21 11:07:56.452,0.662423,0.00257,0.211774,0.019028,0.081832,0.004678,0,5
2021-08-21 11:07:56.952,0.661311,0.002617,0.210005,0.019293,0.082214,0.004706,0,5
2021-08-21 11:07:57.448,0.662393,0.002653,0.209207,0.018741,0.085603,0.004458,0,5
2021-08-21 11:07:57.948,0.660282,0.002806,0.209545,0.019215,0.083715,0.004808,0,5
2021-08-21 11:07:58.452,0.66435,0.002695,0.210881,0.017101,0.082397,0.00511,0,5
2021-08-21 11:07:58.948,0.662224,0.002653,0.210837,0.017266,0.079876,0.004654,0,5
2021-08-21 11:07:59.452,0.663725,0.00257,0.210261,0.018281,0.083078,0.004725,0,5
2021-08-21 11:07:59.948,0.662277,0.002822,0.209448,0.019469,0.082839,0.004647,0,5
2021-08-21 11:08:00.447,0.663439,0.002678,0.209383,0.018224,0.080336,0.00502,0,5
2021-08-21 11:08:00.951,0.66211,0.002622,0.208456,0.018605,0.084211,0.004498,0,5
2021-08-21 11:08:01.448,0.665103,0.00275,0.210351,0.017749,0.080342,0.004679,0,5
2021-08-21 11:08:01.948,0.663285,0.002732,0.210133,0.017752,0.080629,0.004748,0,5
2021-08-21 11:08:02.452,0.663725,0.002747,0.211336,0.018947,0.08208,0.004666,0,5
2021-08-21 11:08:02.951,0.667638,0.002594,0.210175,0.017127,0.082692,0.00479,0,5
2021-08-21 11:08:03.447,0.662923,0.002674,0.211523,0.016665,0.081784,0.005078,0,5
2021-08-21 11:08:03.951,0.670798,0.002706,0.211701,0.017549,0.085379,0.004351,0,5
2021-08-21 11:08:04.452,0.678379,0.002314,0.216034,0.01778,0.085766,0.004868,0,5
2021-08-21 11:08:04.948,0.691948,0.002738,0.219969,0.017046,0.091424,0.004606,0,5
2021-08-21 11:08:05.447,0.698908,0.002573,0.220375,0.01807,0.091304,0.005134,0,5
2021-08-21 11:08:05.951,0.724792,0.002518,0.230714,0.022286,0.098113,0.004571,0,5
