Time,TS outlet pressure (Mean),Pump outlet pressure (Mean),Differential pressure (Mean),Flow rate (Mean),Differential pressure (Std Dev),Pressure before pump (Std Dev),Pressure after pump (Std Dev),Plug,Plug_future,LogId
1900-01-01 11:44:15.469,-0.000953,0.000388,-0.002267,0.751986,0.013532,0.004897,0.005212,0,0,6
1900-01-01 11:44:15.973,-0.000864,0.000299,-0.002195,0.701742,0.013116,0.005382,0.005186,0,0,6
1900-01-01 11:44:16.474,-0.000679,0.000365,-0.002517,0.57688,0.012904,0.005223,0.00529,0,0,6
1900-01-01 11:44:16.970,-0.000762,0.000494,-0.002137,0.80902,0.01415,0.005094,0.005319,0,0,6
1900-01-01 11:44:17.469,-0.000832,0.000511,-0.00255,0.612487,0.014046,0.004871,0.005322,0,0,6
1900-01-01 11:44:17.973,-0.000707,0.000289,-0.002432,0.683032,0.01382,0.005188,0.005182,0,0,6
1900-01-01 11:44:18.469,-0.000868,0.000271,-0.00223,0.866054,0.013418,0.005141,0.005219,0,0,6
1900-01-01 11:44:18.973,-0.000864,0.000341,-0.001958,0.748515,0.013888,0.004686,0.005282,0,0,6
1900-01-01 11:44:19.469,-0.001016,0.000419,-0.002267,0.599895,0.014027,0.005034,0.005346,0,0,6
1900-01-01 11:44:19.973,-0.00076,0.00031,-0.002158,0.580129,0.013305,0.004999,0.005189,0,0,6
1900-01-01 11:44:20.469,-0.000963,0.000631,-0.00197,0.637918,0.012947,0.004453,0.005336,0,0,6
1900-01-01 11:44:20.968,-0.000843,0.000237,-0.00244,0.697523,0.013572,0.004812,0.005249,0,0,6
1900-01-01 11:44:21.472,-0.000791,0.00056,-0.002268,0.636258,0.013143,0.004872,0.005245,0,0,6
1900-01-01 11:44:21.973,-0.000857,0.000375,-0.002481,0.511005,0.013152,0.004926,0.005251,0,0,6
1900-01-01 11:44:22.472,-0.000853,0.000374,-0.002256,0.650281,0.012736,0.004889,0.005334,0,0,6
1900-01-01 11:44:22.973,-0.001046,0.000459,-0.002205,0.765096,0.01349,0.004756,0.005312,0,0,6
1900-01-01 11:44:23.469,-0.000752,0.000356,-0.002285,0.761491,0.013463,0.005444,0.005203,0,0,6
1900-01-01 11:44:23.973,-0.000885,0.000622,-0.002067,0.75787,0.013089,0.00475,0.005334,0,0,6
1900-01-01 11:44:24.469,-0.000985,0.000621,-0.002026,0.628412,0.014154,0.004618,0.005294,0,0,6
1900-01-01 11:44:24.973,-0.000562,0.000404,-0.002104,0.654968,0.0139,0.005129,0.005299,0,0,6
1900-01-01 11:44:25.469,-0.000752,0.000504,-0.001785,0.609401,0.013528,0.00532,0.005321,0,0,6
1900-01-01 11:44:25.968,-0.000811,0.000406,-0.002127,0.78256,0.013234,0.005031,0.005259,0,0,6
1900-01-01 11:44:26.472,-0.000822,0.000497,-0.002195,0.711096,0.013268,0.004967,0.005319,0,0,6
1900-01-01 11:44:26.968,-0.000868,0.00025,-0.002433,0.694952,0.013613,0.005311,0.005168,0,0,6
1900-01-01 11:44:27.472,-0.001082,0.000497,-0.002249,0.626903,0.012904,0.00465,0.005277,0,0,6
1900-01-01 11:44:27.973,-0.000826,0.00025,-0.002664,0.652167,0.014425,0.004785,0.005211,0,0,6
1900-01-01 11:44:28.469,-0.00073,0.000525,-0.0026,0.618907,0.01446,0.004998,0.005283,0,0,6
1900-01-01 11:44:28.968,-0.001074,0.00049,-0.002624,0.650281,0.01435,0.004856,0.005276,0,0,6
1900-01-01 11:44:29.472,-0.000728,0.000216,-0.002031,0.692387,0.013378,0.005079,0.005198,0,0,6
1900-01-01 11:44:29.968,-0.000889,0.000472,-0.002582,0.59039,0.013605,0.005114,0.005273,0,0,6
1900-01-01 11:44:30.472,-0.000822,0.000351,-0.002341,0.842063,0.013816,0.004967,0.005285,0,0,6
1900-01-01 11:44:30.968,-0.000889,0.000462,-0.002471,0.628412,0.014019,0.005114,0.005271,0,0,6
1900-01-01 11:44:31.472,-0.001093,0.000497,-0.002614,0.683032,0.013428,0.004953,0.005441,0,0,6
1900-01-01 11:44:31.970,-0.000957,0.000241,-0.001737,0.535722,0.013245,0.005023,0.00525,0,0,6
1900-01-01 11:44:32.472,-0.000807,0.000339,-0.002446,0.765809,0.013433,0.005032,0.005324,0,0,6
1900-01-01 11:44:32.968,-0.000826,0.000282,-0.001989,0.770997,0.013396,0.005018,0.005223,0,0,6
1900-01-01 11:44:33.472,-0.000937,0.000393,-0.002505,0.692387,0.013145,0.004951,0.005379,0,0,6
1900-01-01 11:44:33.973,-0.000763,0.000312,-0.002279,0.793329,0.013715,0.004909,0.005357,0,0,6
1900-01-01 11:44:34.472,-0.001148,0.000153,-0.002311,0.499105,0.013901,0.00479,0.005257,0,0,6
