Time,Temperature TS outlet (Mean),Temperature TS inlet (Mean),Bypass temperature (Mean),Tank temperature (Mean),TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Flow rate (Mean),Plug,Plug_future
1900-01-01 12:50:22.552,22.105023,22.784024,22.143948,21.820424,-0.001144,0.00101,0.030614,0.962403,0,0.0
1900-01-01 12:50:23.552,22.103317,22.764467,22.139616,21.815305,-0.00105,0.001136,0.030568,1.070844,0,0.0
1900-01-01 12:50:24.552,22.107123,22.770242,22.134496,21.82003,-0.001286,0.001178,0.030586,1.136851,0,0.0
1900-01-01 12:50:25.552,22.105286,22.778642,22.133052,21.819111,-0.001212,0.001152,0.030779,1.150995,0,0.0
1900-01-01 12:50:26.552,22.104104,22.769192,22.133183,21.818061,-0.001223,0.000873,0.030467,1.188714,0,0.0
1900-01-01 12:50:27.552,22.103579,22.77418,22.12977,21.818455,-0.001186,0.000984,0.030559,0.91997,0,0.0
1900-01-01 12:50:28.552,22.100823,22.769848,22.127539,21.817668,-0.00116,0.000921,0.030201,1.042555,0,0.0
1900-01-01 12:50:29.552,22.099904,22.777986,22.118743,21.818718,-0.001023,0.001173,0.030155,0.981262,0,0.0
1900-01-01 12:50:30.552,22.097935,22.765123,22.119925,21.818061,-0.000997,0.001041,0.030292,1.02841,0,0.0
1900-01-01 12:50:31.552,22.097673,22.768929,22.114149,21.816749,-0.000971,0.001041,0.030513,1.089703,0,0.0
1900-01-01 12:50:32.552,22.095966,22.778248,22.114411,21.822524,-0.000934,0.001094,0.03032,1.160425,0,0.0
1900-01-01 12:50:33.552,22.089666,22.771423,22.108767,21.822524,-0.001123,0.000952,0.030228,1.169855,0,0.0
1900-01-01 12:50:34.552,22.086647,22.775361,22.107191,21.819374,-0.001197,0.00111,0.030752,0.957688,0,0.0
1900-01-01 12:50:35.552,22.08704,22.772342,22.107322,21.824099,-0.001202,0.001272,0.030292,1.084988,0,0.0
1900-01-01 12:50:36.552,22.08494,22.774836,22.102334,21.823574,-0.000987,0.001167,0.029998,1.188714,0,0.0
1900-01-01 12:50:37.552,22.087959,22.763417,22.104172,21.819899,-0.001081,0.001209,0.030403,0.943544,0,0.0
1900-01-01 12:50:38.552,22.088878,22.772079,22.100102,21.821736,-0.001223,0.001167,0.030697,0.985977,0,0.0
1900-01-01 12:50:39.552,22.084153,22.773523,22.104172,21.823574,-0.000966,0.001162,0.029925,1.061414,0,0.0
1900-01-01 12:50:40.552,22.084546,22.762629,22.098133,21.818061,-0.001128,0.001099,0.030219,1.018981,0,0.0
1900-01-01 12:50:41.552,22.087565,22.764467,22.096558,21.820555,-0.000992,0.000973,0.03009,0.952974,0,0.0
1900-01-01 12:50:42.552,22.079033,22.759873,22.094589,21.821605,-0.001107,0.001225,0.030136,0.990692,0,0.0
1900-01-01 12:50:43.552,22.082184,22.775886,22.093014,21.820818,-0.001139,0.001498,0.03043,1.179284,0,0.0
1900-01-01 12:50:44.552,22.07864,22.767748,22.093801,21.826593,-0.001302,0.001073,0.030274,0.981262,0,0.0
1900-01-01 12:50:45.552,22.078771,22.770111,22.094983,21.82318,-0.001118,0.001188,0.030348,1.004836,0,0.0
